iter	RMSE
0	15.04284545
1	15.04045338
2	15.03840684
3	15.03574759
4	15.0331974
5	15.03102775
6	15.02837189
7	15.0262351
8	15.02460204
9	15.02203603
10	15.02007675
11	15.01880115
12	15.01718131
13	15.01510283
14	15.01302331
15	15.01143479
16	15.00920729
17	15.00771697
18	15.00604296
19	15.00394854
20	15.00186246
21	15.00033259
22	14.99879659
23	14.99654462
24	14.99447786
25	14.99248979
26	14.99200377
27	14.9899058
28	14.98818298
29	14.98659476
30	14.98529898
31	14.98420678
32	14.98267903
33	14.98036724
34	14.97853273
35	14.97680723
36	14.97542178
37	14.973447
38	14.97163584
39	14.96963273
40	14.96707742
41	14.96466875
42	14.96305925
43	14.96064259
44	14.95940583
45	14.95709611
46	14.95547669
47	14.95422884
48	14.95207549
49	14.95080709
50	14.94930281
51	14.94762257
52	14.94622993
53	14.94533728
54	14.94298671
55	14.94159645
56	14.93948465
57	14.93808631
58	14.9354864
59	14.93303163
60	14.9316815
61	14.92939117
62	14.92803283
63	14.92799629
64	14.9260747
65	14.92426308
66	14.92267535
67	14.92093145
68	14.91917578
69	14.91813575
70	14.9164495
71	14.91492774
72	14.91353214
73	14.91152083
74	14.91093364
75	14.91019701
76	14.90868854
77	14.90740303
78	14.90575842
79	14.90411152
80	14.90328245
81	14.90237256
82	14.90161922
83	14.90155175
84	14.90018692
85	14.89892658
86	14.89710927
87	14.89597712
88	14.89411423
89	14.89223656
90	14.89092584
91	14.88918213
92	14.88717708
93	14.88599761
94	14.88432894
95	14.88432194
96	14.88330642
97	14.88163477
98	14.88033004
99	14.87834474
100	14.87675574
101	14.87672523
102	14.87576502
103	14.87569052
104	14.8748316
105	14.87298558
106	14.87155355
107	14.86988762
108	14.8685554
109	14.86714425
110	14.86556679
111	14.86343841
112	14.8620897
113	14.86018648
114	14.85931104
115	14.85752134
116	14.85648046
117	14.85488195
118	14.85371075
119	14.85286105
120	14.85137174
121	14.84989827
122	14.84896878
123	14.84769622
124	14.84638558
125	14.84511511
126	14.84367197
127	14.84282916
128	14.84221298
129	14.84172116
130	14.8409606
131	14.84087249
132	14.83988958
133	14.83835313
134	14.8363456
135	14.83555195
136	14.83493288
137	14.83314565
138	14.8318983
139	14.8304422
140	14.8294722
141	14.8283205
142	14.82696171
143	14.82590938
144	14.82495399
145	14.82387712
146	14.82295187
147	14.82161652
148	14.82014676
149	14.8185552
150	14.81818268
151	14.81658922
152	14.81606839
153	14.81452931
154	14.81342006
155	14.81211022
156	14.81129397
157	14.80937287
158	14.80870222
159	14.80747807
160	14.8064905
161	14.80514649
162	14.80429793
163	14.80273889
164	14.80119191
165	14.80023608
166	14.79947333
167	14.79808903
168	14.79693793
169	14.79590475
170	14.79517062
171	14.79398455
172	14.79236279
173	14.79115629
174	14.79004913
175	14.7889992
176	14.78809024
177	14.78714601
178	14.78634292
179	14.78532207
180	14.78415708
181	14.78311266
182	14.78148521
183	14.77998184
184	14.77908945
185	14.77754865
186	14.77701455
187	14.77591857
188	14.77445274
189	14.77326737
190	14.77205134
191	14.77122844
192	14.77036263
193	14.76952012
194	14.76815854
195	14.76683341
196	14.7659155
197	14.76474941
198	14.76439054
199	14.76356482
