iter	Passed	Remaining
0	11	2339
1	22	2187
2	34	2237
3	44	2158
4	52	2031
5	62	2010
6	70	1950
7	81	1947
8	91	1940
9	99	1899
10	111	1911
11	118	1860
12	127	1838
13	135	1797
14	145	1791
15	152	1755
16	161	1739
17	169	1717
18	179	1710
19	188	1694
20	195	1665
21	204	1656
22	213	1645
23	225	1651
24	233	1634
25	243	1629
26	246	1580
27	256	1574
28	263	1554
29	272	1544
30	279	1522
31	287	1511
32	295	1493
33	304	1486
34	311	1469
35	320	1461
36	328	1445
37	337	1437
38	344	1421
39	352	1409
40	359	1393
41	367	1382
42	374	1368
43	383	1357
44	390	1345
45	398	1335
46	406	1322
47	413	1310
48	422	1300
49	430	1290
50	437	1278
51	444	1265
52	452	1255
53	459	1241
54	467	1232
55	475	1222
56	484	1216
57	492	1206
58	501	1199
59	509	1189
60	519	1182
61	528	1176
62	538	1171
63	540	1149
64	549	1141
65	557	1131
66	565	1123
67	572	1111
68	581	1104
69	588	1092
70	596	1084
71	603	1073
72	611	1063
73	619	1055
74	626	1044
75	635	1036
76	643	1027
77	651	1018
78	659	1010
79	667	1001
80	676	993
81	684	984
82	692	976
83	695	960
84	703	951
85	713	945
86	720	935
87	730	929
88	739	921
89	748	914
90	757	907
91	766	899
92	775	891
93	783	883
94	792	875
95	794	860
96	801	851
97	811	844
98	819	836
99	828	828
100	837	820
101	840	807
102	847	798
103	849	784
104	859	777
105	866	768
106	875	761
107	882	752
108	892	745
109	900	736
110	909	728
111	917	720
112	925	712
113	933	704
114	942	696
115	950	688
116	958	680
117	966	671
118	975	663
119	982	655
120	991	647
121	999	639
122	1008	631
123	1016	623
124	1025	615
125	1034	607
126	1042	599
127	1050	590
128	1058	582
129	1066	574
130	1075	566
131	1077	555
132	1086	547
133	1093	538
134	1103	531
135	1111	523
136	1120	515
137	1128	507
138	1137	499
139	1145	490
140	1153	482
141	1161	474
142	1169	466
143	1178	458
144	1188	450
145	1197	442
146	1205	434
147	1213	426
148	1221	418
149	1230	410
150	1234	400
151	1242	392
152	1250	384
153	1258	376
154	1267	368
155	1276	360
156	1285	351
157	1292	343
158	1300	335
159	1309	327
160	1317	319
161	1325	310
162	1332	302
163	1340	294
164	1348	286
165	1356	277
166	1364	269
167	1372	261
168	1379	253
169	1387	244
170	1395	236
171	1402	228
172	1410	220
173	1417	211
174	1426	203
175	1433	195
176	1442	187
177	1449	179
178	1457	170
179	1464	162
180	1472	154
181	1478	146
182	1487	138
183	1494	129
184	1503	121
185	1510	113
186	1517	105
187	1526	97
188	1534	89
189	1541	81
190	1549	72
191	1556	64
192	1564	56
193	1572	48
194	1579	40
195	1587	32
196	1594	24
197	1602	16
198	1609	8
199	1617	0
